session_id	group_id	user_id	destination_id	capture_start_ms	duration_ms	tls_record_count	c2s_record_count	s2c_record_count	c2s_record_bytes	s2c_record_bytes	signed_tls_record_lengths	record_interarrival_ms
CryptoBounty-Benign_s_6227d18c9e954388bf70	CryptoBounty-Benign_g_04525715e9c20fcbf686	CryptoBounty-Benign_u_a03c8b0bab89329802f0	endpoint_f6ccd349fc00ac925eb0	2110031.25	364.36	20	8	12	2781	4364	[1516,-1215,-6,-28,-853,-286,-74,6,74,188,342,342,-255,-255,289,-122,-662,-584,-24,24]	[0.0,44.565,0.008,0.008,0.006,0.006,0.006,37.55,0.005,0.004,0.003,29.772,0.857,0.009,21.128,49.284,0.009,23.755,0.009,38.438]
CryptoBounty-Benign_s_30523cc6e43af207e5a1	CryptoBounty-Benign_g_04525715e9c20fcbf686	CryptoBounty-Benign_u_1127ae053163909d7577	endpoint_f6ccd349fc00ac925eb0	3306031.25	140.194	23	10	13	4133	4653	[1516,-1215,-6,-28,-853,-286,-74,6,74,190,502,502,-255,-255,502,502,315,-122,-702,-702,-131,-24,24]	[0.0,25.948,0.006,0.004,0.004,0.004,0.003,21.352,0.011,0.006,0.006,17.772,0.585,0.008,8.624,7.804,6.482,10.834,0.012,3.561,3.106,0.007,3.397]
CryptoBounty-Benign_s_711847843efb9b723c51	CryptoBounty-Benign_g_04525715e9c20fcbf686	CryptoBounty-Benign_u_5afda3b3bf3eb6ac3948	endpoint_f6ccd349fc00ac925eb0	3678531.25	376.833	21	8	13	2599	4682	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,278,278,-255,-255,238,-122,-662,-662,-240,-24,24]	[0.0,45.061,0.009,0.008,0.006,0.007,0.006,39.06,0.008,0.006,0.006,38.412,0.985,0.007,24.508,40.034,0.006,18.737,27.355,0.009,34.769]
CryptoBounty-Benign_s_45517145c97482eb3e4d	CryptoBounty-Benign_g_04525715e9c20fcbf686	CryptoBounty-Benign_u_f202cbbbbf170a969715	endpoint_f6ccd349fc00ac925eb0	4607906.25	429.415	19	7	12	2282	3977	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,235,-255,-255,-121,-432,-428,-24,24]	[0.0,59.692,0.009,0.006,0.004,0.004,0.004,44.955,0.005,0.003,0.004,36.149,2.828,0.007,63.006,0.014,34.158,0.011,61.105]
CryptoBounty-Benign_s_d4569ff851d503103403	CryptoBounty-Benign_g_04525715e9c20fcbf686	CryptoBounty-Benign_u_1cbd7407abf8667cfbb1	endpoint_f6ccd349fc00ac925eb0	5441812.5	471.536	23	10	13	3852	5192	[1516,-1215,-6,-28,-853,-286,-74,6,74,190,502,502,-255,-255,502,502,34,-122,-702,-702,-670,-24,24]	[0.0,37.432,0.005,0.005,0.003,0.003,0.004,39.555,0.013,0.005,0.006,44.159,1.127,0.009,30.176,28.792,31.989,54.876,0.006,20.9,26.994,0.01,37.991]
CryptoBounty-Benign_s_52d2d79d10443bdea67a	CryptoBounty-Benign_g_04525715e9c20fcbf686	CryptoBounty-Benign_u_96baa019d3e045bb5bec	endpoint_f6ccd349fc00ac925eb0	6611843.75	379.317	19	7	12	2279	3899	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,232,-255,-255,-121,-432,-350,-24,24]	[0.0,44.618,0.006,0.004,0.003,0.003,0.004,41.673,0.005,0.003,0.003,38.537,0.49,0.006,51.347,0.011,30.138,0.011,37.822]
CryptoBounty-Benign_s_86b10105d3453c8a8f39	CryptoBounty-Benign_g_046be885bcf3961a6240	CryptoBounty-Benign_u_0cc0ce6b5081070fede5	endpoint_2768a0875b303cddeb5a	516968.75	384.013	20	8	12	2709	4338	[1516,-1215,-6,-28,-853,-286,-74,6,74,188,342,342,-255,-255,217,-122,-662,-558,-24,24]	[0.0,36.039,0.005,0.004,0.004,0.003,0.003,31.885,0.005,0.003,0.003,42.367,0.87,0.008,25.407,60.472,0.009,28.667,0.008,39.945]
CryptoBounty-Benign_s_52ae97983fcdad5fc50b	CryptoBounty-Benign_g_046be885bcf3961a6240	CryptoBounty-Benign_u_d3670cd012969e53cf12	endpoint_2768a0875b303cddeb5a	2222562.5	471.515	22	9	13	3679	5104	[1516,-1215,-6,-28,-853,-286,-74,6,74,190,502,502,-255,-255,502,363,-122,-702,-702,-582,-24,24]	[0.0,56.843,0.017,0.005,0.005,0.004,0.004,45.622,0.006,0.003,0.004,36.857,0.582,0.005,28.513,27.618,48.836,0.01,29.206,26.608,0.01,39.493]
CryptoBounty-Benign_s_d5e462206f750df1a4a2	CryptoBounty-Benign_g_046be885bcf3961a6240	CryptoBounty-Benign_u_093b736a01b27ff5db90	endpoint_2768a0875b303cddeb5a	2906906.25	489.366	23	10	13	4109	5152	[1516,-1215,-6,-28,-853,-286,-74,6,74,190,502,502,-255,-255,502,502,291,-122,-702,-702,-630,-24,24]	[0.0,77.122,0.019,0.005,0.004,0.004,0.004,41.871,0.008,0.005,0.006,37.359,0.962,0.008,26.197,21.635,24.166,42.315,0.007,22.665,21.976,0.006,73.134]
CryptoBounty-Benign_s_6671ab7d30d80cba63c8	CryptoBounty-Benign_g_046be885bcf3961a6240	CryptoBounty-Benign_u_7403eac922b83c30ec6e	endpoint_2768a0875b303cddeb5a	5412906.25	478.865	22	9	13	3078	4722	[1516,-1215,-6,-28,-853,-286,-74,6,74,189,382,382,-255,-255,382,123,-122,-742,-742,-120,-24,24]	[0.0,49.896,0.009,0.011,0.006,0.007,0.006,44.868,0.007,0.006,0.005,42.382,1.213,0.006,28.576,29.964,61.75,0.009,22.815,20.547,0.01,42.677]
CryptoBounty-Benign_s_0263515beedfca55b85b	CryptoBounty-Benign_g_046be885bcf3961a6240	CryptoBounty-Benign_u_64cdc1491953a43184e0	endpoint_2768a0875b303cddeb5a	5489843.75	405.663	21	8	13	2793	5220	[1516,-1215,-6,-28,-853,-286,-74,6,74,188,382,382,-255,-255,221,-122,-742,-742,-618,-24,24]	[0.0,36.703,0.005,0.004,0.004,0.003,0.003,36.974,0.009,0.003,0.005,36.87,0.949,0.008,26.021,60.329,0.011,26.204,32.261,0.01,37.626]
CryptoBounty-Benign_s_a72a0dd296f6cf02a02e	CryptoBounty-Benign_g_046be885bcf3961a6240	CryptoBounty-Benign_u_18d66137558c2ae5733f	endpoint_2768a0875b303cddeb5a	5529687.5	428.132	21	8	13	2327	4115	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,38,-121,-432,-432,-134,-24,24]	[0.0,45.182,0.013,0.005,0.004,0.004,0.003,34.43,0.005,0.004,0.003,36.535,0.748,0.007,21.912,46.566,0.009,42.28,44.447,0.007,33.976]
CryptoBounty-Benign_s_f83d8ef50f2f223f1e0c	CryptoBounty-Benign_g_046be885bcf3961a6240	CryptoBounty-Benign_u_9c378da72fe05782db01	endpoint_2768a0875b303cddeb5a	6527062.5	495.937	22	9	13	3211	4907	[1516,-1215,-6,-28,-853,-286,-74,6,74,189,382,382,-255,-255,382,256,-122,-742,-742,-305,-24,24]	[0.0,59.68,0.007,0.005,0.003,0.004,0.003,49.877,0.006,0.002,0.004,52.511,3.882,0.005,21.763,22.307,48.138,0.006,24.739,26.455,0.009,41.633]
CryptoBounty-Benign_s_57c88469e5481d3140a5	CryptoBounty-Benign_g_046be885bcf3961a6240	CryptoBounty-Benign_u_990290e067e6b9122523	endpoint_2768a0875b303cddeb5a	6865343.75	279.473	20	8	12	2406	3989	[1516,-1215,-6,-28,-853,-286,-74,6,74,186,278,278,-255,-255,44,-121,-534,-338,-24,24]	[0.0,45.753,0.006,0.005,0.003,0.004,0.003,34.401,0.005,0.004,0.003,31.062,0.558,0.01,20.728,40.611,0.011,16.619,0.009,18.147]
CryptoBounty-Benign_s_4740a34615eead38d0a0	CryptoBounty-Benign_g_053e3a6a8161cff542af	CryptoBounty-Benign_u_815fee7c7ebe62137991	endpoint_ed922b7e66e576f499b2	428687.5	610.158	23	9	14	3569	5950	[1516,-1215,-6,-28,-853,-286,-74,6,74,186,442,442,-255,-255,442,437,-122,-822,-822,-822,-366,-24,24]	[0.0,76.779,0.01,0.005,0.003,0.004,0.004,69.96,0.006,0.007,0.004,55.425,13.108,0.009,24.595,24.53,66.472,0.01,23.875,30.972,29.892,0.009,42.895]
CryptoBounty-Benign_s_f28ac1751ea8987af76c	CryptoBounty-Benign_g_053e3a6a8161cff542af	CryptoBounty-Benign_u_88513d22d9e947c75fc8	endpoint_ed922b7e66e576f499b2	1642187.5	124.682	27	7	20	2210	13424	[1516,-1215,-6,-28,-853,-286,-74,6,74,186,202,202,-255,-255,-123,-1122,-1122,-1122,-1122,-1122,-1122,-1122,-1122,-1122,-207,-24,24]	[0.0,22.048,0.012,0.009,0.007,0.007,0.006,24.547,0.007,0.005,0.005,16.929,0.233,0.006,9.834,0.009,4.007,4.526,3.749,4.107,3.858,3.053,3.192,2.568,3.86,0.007,3.26]
CryptoBounty-Benign_s_0652e930ffdf8f1d43e6	CryptoBounty-Benign_g_053e3a6a8161cff542af	CryptoBounty-Benign_u_42d2567cf33c208227f8	endpoint_ed922b7e66e576f499b2	1835000.0	489.999	20	7	13	2484	4605	[1516,-1215,-6,-28,-853,-286,-74,6,74,188,342,334,-255,-255,-122,-662,-662,-163,-24,24]	[0.0,50.898,0.006,0.006,0.004,0.008,0.24,50.846,0.01,0.006,0.007,47.329,1.497,0.01,67.026,0.016,33.83,30.705,0.008,49.84]
CryptoBounty-Benign_s_323aee808789c0d9847f	CryptoBounty-Benign_g_053e3a6a8161cff542af	CryptoBounty-Benign_u_ebc05c5b3696c1e9c4eb	endpoint_ed922b7e66e576f499b2	3510500.0	402.998	20	7	13	2265	4096	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,218,-255,-255,-121,-432,-432,-115,-24,24]	[0.0,37.433,0.006,0.004,0.004,0.003,0.004,39.35,0.005,0.004,0.004,39.27,0.784,0.006,47.261,0.01,30.877,25.896,0.01,39.67]
CryptoBounty-Benign_s_28b983e8b61d801db834	CryptoBounty-Benign_g_053e3a6a8161cff542af	CryptoBounty-Benign_u_815fee7c7ebe62137991	endpoint_ed922b7e66e576f499b2	3834250.0	405.605	20	7	13	2308	4280	[1516,-1215,-6,-28,-853,-286,-74,6,74,187,278,223,-255,-255,-122,-534,-534,-94,-24,24]	[0.0,47.107,0.011,0.004,0.005,0.003,0.01,49.991,0.008,0.006,0.006,47.641,2.243,0.007,60.149,0.008,20.179,19.333,0.01,38.373]
CryptoBounty-Benign_s_8534fb62dc6fa3c6349b	CryptoBounty-Benign_g_053e3a6a8161cff542af	CryptoBounty-Benign_u_0493332825b8356e262b	endpoint_ed922b7e66e576f499b2	6453281.25	428.81	27	7	20	2109	13948	[1516,-1215,-6,-28,-853,-286,-74,6,74,186,202,101,-255,-255,-123,-1122,-1122,-1122,-1122,-1122,-1122,-1122,-1122,-1122,-731,-24,24]	[0.0,49.973,0.01,0.008,0.007,0.006,0.007,41.809,0.01,0.006,0.007,49.16,1.11,0.009,64.77,0.017,34.455,24.135,19.829,16.46,14.163,7.932,9.005,9.114,8.965,0.01,8.787]
CryptoBounty-Benign_s_a027987339df1929ac93	CryptoBounty-Benign_g_053e3a6a8161cff542af	CryptoBounty-Benign_u_815fee7c7ebe62137991	endpoint_ed922b7e66e576f499b2	7871468.75	497.611	20	7	13	2297	4246	[1516,-1215,-6,-28,-853,-286,-74,6,74,187,278,212,-255,-255,-122,-534,-534,-60,-24,24]	[0.0,52.23,0.009,0.008,0.006,0.006,0.007,38.242,0.008,0.005,0.01,48.98,0.755,0.006,69.415,0.01,51.133,23.452,0.01,48.655]
CryptoBounty-Benign_s_e54eaab9bef26fcb3d12	CryptoBounty-Benign_g_053e3a6a8161cff542af	CryptoBounty-Benign_u_815fee7c7ebe62137991	endpoint_ed922b7e66e576f499b2	8611781.25	216.881	21	8	13	2350	4059	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,61,-121,-432,-432,-78,-24,24]	[0.0,27.429,0.008,0.005,0.004,0.003,0.004,31.415,0.007,0.005,0.005,27.226,0.657,0.008,17.046,36.083,0.009,11.945,11.505,0.006,11.81]
