session_id	group_id	user_id	destination_id	capture_start_ms	duration_ms	tls_record_count	c2s_record_count	s2c_record_count	c2s_record_bytes	s2c_record_bytes	signed_tls_record_lengths	record_interarrival_ms
MapSwipe-Benign_s_3da5a4ffdc0500356d0e	MapSwipe-Benign_g_cb69527df7fde5af9b88	MapSwipe-Benign_u_78dac6e26f4c6365a8f4	endpoint_d6bc51f73f0e1c050e17	2487728.875	400.821	19	7	12	2270	3826	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,223,-255,-255,-121,-432,-277,-24,24]	[0.0,63.171,0.019,0.009,0.008,0.007,0.012,44.315,0.01,0.009,0.006,32.499,0.726,0.007,48.967,0.014,37.49,0.01,39.685]
MapSwipe-Benign_s_b786440baf66711efff7	MapSwipe-Benign_g_cb69527df7fde5af9b88	MapSwipe-Benign_u_53ba8ca3302502eb8248	endpoint_f08e349592965c4ad894	2504680.0	848.603	20	7	13	2252	4038	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,205,-255,-255,-121,-432,-432,-57,-24,24]	[0.0,167.181,0.012,0.01,0.008,0.008,0.008,100.757,0.012,0.009,0.008,54.92,1.017,0.008,87.426,0.021,43.882,50.889,0.017,69.824]
MapSwipe-Benign_s_e312a77e38285ef02b5c	MapSwipe-Benign_g_cb69527df7fde5af9b88	MapSwipe-Benign_u_e6731bf0a3a8efd631a9	endpoint_413b38b740843c48dcec	2790719.375	504.224	20	8	12	2355	3967	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,66,-121,-432,-418,-24,24]	[0.0,66.66,0.009,0.009,0.008,0.007,0.007,52.66,0.092,0.012,0.008,50.948,1.135,0.009,32.857,60.87,0.013,31.267,0.01,48.617]
MapSwipe-Benign_s_2cfdf5a376b047f7c2c0	MapSwipe-Benign_g_cb69527df7fde5af9b88	MapSwipe-Benign_u_b1d3dd682785892e431b	endpoint_413b38b740843c48dcec	3117235.0	502.6	20	8	12	2347	3933	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,58,-121,-432,-384,-24,24]	[0.0,52.271,0.006,0.005,0.004,0.003,0.005,46.584,0.01,0.011,0.007,48.809,0.881,0.01,33.397,75.182,0.009,33.356,0.01,51.536]
MapSwipe-Benign_s_5479055f4e04fcf45d47	MapSwipe-Benign_g_cb69527df7fde5af9b88	MapSwipe-Benign_u_569d32f8eea288650efa	endpoint_f06e3e9afe85348dce60	3264874.5	531.719	21	8	13	2368	4102	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,79,-121,-432,-432,-121,-24,24]	[0.0,45.059,0.011,0.008,0.007,0.006,0.007,44.406,0.01,0.006,0.006,39.31,0.493,0.005,28.206,61.661,0.011,46.514,51.792,0.012,67.071]
MapSwipe-Benign_s_2b6fd87f7646cb8afdbb	MapSwipe-Benign_g_cb69527df7fde5af9b88	MapSwipe-Benign_u_355c852c1087cdb2599a	endpoint_413b38b740843c48dcec	3529145.0	345.47	19	7	12	2288	3844	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,241,-255,-255,-121,-432,-295,-24,24]	[0.0,48.364,0.006,0.004,0.004,0.004,0.003,31.127,0.006,0.003,0.003,34.567,0.599,0.005,44.555,0.011,22.222,0.008,36.647]
MapSwipe-Benign_s_5a9920e44fef8d3fbc00	MapSwipe-Benign_g_cb69527df7fde5af9b88	MapSwipe-Benign_u_272186cb01d3a3f00c8e	endpoint_03cb6a2621d9336c36e5	3540612.75	479.365	20	8	12	2315	3911	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,26,-121,-432,-362,-24,24]	[0.0,43.629,0.006,0.004,0.003,0.004,0.003,45.019,0.009,0.004,0.003,46.809,1.051,0.007,31.778,75.536,0.017,38.845,0.015,46.205]
MapSwipe-Benign_s_867bf3881fc520bd54af	MapSwipe-Benign_g_cb6b4e7946b15b820d31	MapSwipe-Benign_u_373ed8f3799c207e50e0	endpoint_53ac97f4e1ab1f69d0a6	840020.0	408.973	20	7	13	2207	4010	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,160,-255,-255,-121,-432,-432,-29,-24,24]	[0.0,41.666,0.006,0.004,0.003,0.003,0.004,41.009,0.011,0.005,0.007,42.999,0.725,0.01,46.525,0.011,31.163,29.234,0.007,49.987]
MapSwipe-Benign_s_6747ca7cb4ede6f470e5	MapSwipe-Benign_g_cb6b4e7946b15b820d31	MapSwipe-Benign_u_508bc89c023672ee807c	endpoint_413b38b740843c48dcec	18496130.375	415.277	20	8	12	2356	3892	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,67,-121,-432,-343,-24,24]	[0.0,46.121,0.01,0.013,0.006,0.006,0.006,51.34,0.008,0.005,0.006,42.261,0.911,0.005,21.208,50.436,0.01,32.059,0.011,34.931]
MapSwipe-Benign_s_1f0d5882e02a14be196f	MapSwipe-Benign_g_cb6b4e7946b15b820d31	MapSwipe-Benign_u_6f2a6c6dff70e2d2b6ca	endpoint_03cb6a2621d9336c36e5	22313265.25	375.955	21	8	13	2319	4036	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,30,-121,-432,-432,-55,-24,24]	[0.0,33.73,0.011,0.004,0.004,0.003,0.005,34.637,0.008,0.005,0.005,30.799,0.765,0.004,21.337,49.987,0.011,27.04,25.104,0.015,37.0]
