group_id	base_group_id	perturbation_level	base_sessions	output_sessions	dropped_sessions	substituted_sessions	rotated_endpoints	jittered_sessions	payload_changed_sessions	background_sessions
ceb_g_a99e02317641e269ab13	cea_g_0614dd8a3ec62552d6cd	0.60	47	49	2	4	26	45	45	4
ceb_g_2470f42479848a5f4088	cea_g_064cb5af16db70423a67	0.10	51	51	1	0	6	50	49	1
ceb_g_2dfe4610621c79e7e6f0	cea_g_064cb5af16db70423a67	0.20	51	49	4	1	13	47	47	2
ceb_g_c93c7fd838d8f226d721	cea_g_064cb5af16db70423a67	0.30	51	46	7	0	12	44	43	2
ceb_g_9d7d7149eb9ce12d0575	cea_g_064cb5af16db70423a67	0.40	51	51	3	3	20	48	48	3
ceb_g_2ab38a12bffac127b568	cea_g_064cb5af16db70423a67	0.50	51	51	4	3	26	47	47	4
ceb_g_a2afb814eb9903c230f4	cea_g_064cb5af16db70423a67	0.60	51	51	5	3	25	46	46	5
ceb_g_801cd68fe9ceee51412d	cea_g_067229c1e8ee6a17d88a	0.10	64	63	2	4	9	62	60	1
ceb_g_3f2b5a0cd6a61a688af0	cea_g_067229c1e8ee6a17d88a	0.20	64	64	2	2	9	62	62	2
ceb_g_668e5578af72e3d7d899	cea_g_067229c1e8ee6a17d88a	0.30	64	63	4	1	18	60	60	3
ceb_g_c0468e0ec83f6983b0ef	cea_g_067229c1e8ee6a17d88a	0.40	64	65	3	4	24	61	61	4
ceb_g_6a6908ec2e21cf975b50	cea_g_067229c1e8ee6a17d88a	0.50	64	62	7	8	21	57	56	5
ceb_g_76a6f488d960ad49a800	cea_g_067229c1e8ee6a17d88a	0.60	64	62	8	4	34	56	56	6
ceb_g_f92384801b11b240fef8	cea_g_073e29fe45b8a7250489	0.10	58	59	0	2	6	58	57	1
ceb_g_8b7e35329b9912369604	cea_g_073e29fe45b8a7250489	0.20	58	60	0	3	12	58	56	2
ceb_g_cd0072c68db994d8fc0e	cea_g_073e29fe45b8a7250489	0.30	58	60	1	2	15	57	57	3
ceb_g_2861dc7296204700a9be	cea_g_073e29fe45b8a7250489	0.40	58	59	2	3	27	56	56	3
ceb_g_69449bf8358ce5f9b35f	cea_g_073e29fe45b8a7250489	0.50	58	53	9	5	20	49	49	4
ceb_g_2ccab6f3e2c59293ecff	cea_g_073e29fe45b8a7250489	0.60	58	58	5	6	35	53	53	5
ceb_g_90ac2ce9dc9fbe0b7e22	cea_g_07f369bff1351191a2b1	0.10	57	56	2	1	5	55	53	1
ceb_g_396c0bdda4ebb9b5413d	cea_g_07f369bff1351191a2b1	0.20	57	57	2	4	15	55	55	2
ceb_g_f5013093a1a5565cf465	cea_g_07f369bff1351191a2b1	0.30	57	56	4	4	13	53	53	3
ceb_g_930e0a0d15baa2a38837	cea_g_07f369bff1351191a2b1	0.40	57	50	10	2	19	47	47	3
ceb_g_08d45e5afdf7d6b78689	cea_g_07f369bff1351191a2b1	0.50	57	57	4	2	31	53	53	4
ceb_g_57a39740a76b6579aedc	cea_g_07f369bff1351191a2b1	0.60	57	56	6	3	28	51	51	5
ceb_g_dc4b866c95cde9000a8a	cea_g_0826fc16ad0c53bd2057	0.10	58	58	1	2	6	57	56	1
ceb_g_23c8919d68235cb54e18	cea_g_0826fc16ad0c53bd2057	0.20	58	58	2	2	11	56	55	2
ceb_g_7dac61f36fc527eac805	cea_g_0826fc16ad0c53bd2057	0.30	58	56	5	1	17	53	52	3
ceb_g_1ed947ee2097f5b21f1c	cea_g_0826fc16ad0c53bd2057	0.40	58	57	4	9	25	54	53	3
